candidate_strategy,pool_variant,fusion_method,case_count,candidate_set_size,candidate_target_recall_at_1,candidate_target_recall_at_3,candidate_target_recall_at_5,fixture_scored_target_at_1_fraction,local_evidence_available_case_count,reviewed_precision_lower_bound,family_subgroup_status,geographic_subgroup_status,representative_fixture_work_count,targeted_fixture_work_count,completed_real_review_count,effective_review_shortfall,distinct_score_work_count,execution_query_embedding_reuse_event_count,execution_within_batch_matrix_reuse_count,execution_maximum_batch_pool_matrix_bytes,mps_peak_memory_bytes,mps_memory_status,target_pruning_regression_count,classification_accuracy_status,raw_score_is_probability,unsupported_statistical_claims_present,production_default_eligible,evidence_basis,row_fingerprint
family_first_safe,dynamic_global_local,maximum_scope_evidence,7,5,0.14285714285714285,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:0ca30c655587bdba962ec4e5797fd3d59bed5066d999d2053f845f1ec0e55bca
family_first_safe,dynamic_global_local,robust_rank_aggregation,7,5,0.14285714285714285,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:bdac5695aaf36a2794b62ba6c2675e25b84adc38c56ecbbc19df5f17e08ab1f3
family_first_safe,dynamic_global_local,unweighted_component_mean,7,5,0.14285714285714285,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:431b76cc2a8cb2dcc310b87d4364e76fabc31fab5c173089986fc6910e877d17
family_first_safe,dynamic_global_local,validation_fitted_linear,7,5,0.14285714285714285,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:ed28c78b055bb7c79d771c67d753f57b9b054d7425f554c45d9df8acf4d1b2dc
family_first_safe,global_only_control,maximum_scope_evidence,7,5,0.14285714285714285,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:1bf3dee0f01d32d701f60441dd711f9a0be51361a9271a3d4d8a9ab041a095d6
family_first_safe,global_only_control,robust_rank_aggregation,7,5,0.14285714285714285,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:b3d587cd270947b2e0172914686848bd5e857d7316ea3fd1b53ff8a2b7b7adc2
family_first_safe,global_only_control,unweighted_component_mean,7,5,0.14285714285714285,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:8ef6b70df5319893405a65f68608a9f6c7f611a5616ddcb1bb1aeb8da5a17f5b
family_first_safe,global_only_control,validation_fitted_linear,7,5,0.14285714285714285,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:33b18c8168f6a8535f51bd0bb8e66f7415c1afc85f85b3c3e706252a2ef48057
geography_first,dynamic_global_local,maximum_scope_evidence,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:ec341ecb5f50775642f9216cd90138bf9926ab56fcc2bda4060ead642625e5d4
geography_first,dynamic_global_local,robust_rank_aggregation,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:8ead06260c0df66d18f88b79ce76729ab1c08eccf52ce5db4b9252f51b5038d0
geography_first,dynamic_global_local,unweighted_component_mean,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:9ceac5dacbd29ca7157a624eca4981f20322fa8b46f70763eafde546f09dadab
geography_first,dynamic_global_local,validation_fitted_linear,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:ce5f438cad5d6190f508009536829a474c73260e46afd659be96f6c79d14b274
geography_first,global_only_control,maximum_scope_evidence,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:d5f2296a2816758faa1a31cdf2446615a80236a853802aae0ce8a1082b0b53a6
